Player,INT-interceptions,INT TD-interceptions,INT Yds-interceptions,Lng-interceptions,report_datetime,report_date
Xavier McKinney,5,0,63,28,2024-10-17 21:06:51,2024-10-17
Kerby Joseph,4,0,0,0,2024-10-17 21:06:51,2024-10-17
Paulson Adebo,3,0,68,47,2024-10-17 21:06:51,2024-10-17
Brian Branch,3,0,48,47,2024-10-17 21:06:51,2024-10-17
Donte Jackson,3,0,75,49,2024-10-17 21:06:51,2024-10-17
Jaire Alexander,2,1,52,35,2024-10-17 21:06:51,2024-10-17
Reed Blankenship,2,0,1,1,2024-10-17 21:06:51,2024-10-17
Calen Bullock,2,0,28,28,2024-10-17 21:06:51,2024-10-17
Camryn Bynum,2,0,3,3,2024-10-17 21:06:51,2024-10-17
Brandin Echols,2,0,0,0,2024-10-17 21:06:51,2024-10-17
Kamu Grugier-Hill,2,0,5,5,2024-10-17 21:06:51,2024-10-17
Marlon Humphrey,2,0,0,0,2024-10-17 21:06:51,2024-10-17
Ja'Marcus Ingram,2,1,56,31,2024-10-17 21:06:51,2024-10-17
Jaylon Johnson,2,0,11,9,2024-10-17 21:06:51,2024-10-17
Jaylon Jones,2,0,5,5,2024-10-17 21:06:51,2024-10-17
Tyrann Mathieu,2,0,23,23,2024-10-17 21:06:51,2024-10-17
Zyon McCollum,2,0,4,4,2024-10-17 21:06:51,2024-10-17
Elijah Molden,2,0,28,25,2024-10-17 21:06:51,2024-10-17
Pat Surtain II,2,1,100,100,2024-10-17 21:06:51,2024-10-17
Andrew Van Ginkel,2,2,73,63,2024-10-17 21:06:51,2024-10-17
Fred Warner,2,1,70,45,2024-10-17 21:06:51,2024-10-17
Johnathan Abram,1,0,30,30,2024-10-17 21:06:51,2024-10-17
Troy Andersen,1,1,47,47,2024-10-17 21:06:51,2024-10-17
Jessie Bates,1,0,0,0,2024-10-17 21:06:51,2024-10-17
Vonn Bell,1,0,32,32,2024-10-17 21:06:51,2024-10-17
