Player,Pass Yds-passing,Yds/Att-passing,Att-passing,Cmp-passing,Cmp %-passing,TD-passing,INT-passing,Rate-passing,1st-passing,1st%-passing,20+-passing,40+-passing,Lng-passing,Sck-passing,SckY-passing,report_datetime,report_date
Geno Smith,1778,7.1,251,173,68.9,6,6,87,89,35.5,14,2,71,19,118,2024-10-17 19:17:53,2024-10-17
Brock Purdy,1629,8.8,185,121,65.4,9,4,100.5,77,41.6,23,4,76,12,50,2024-10-17 19:17:53,2024-10-17
Dak Prescott,1602,7.2,224,142,63.4,8,6,85.4,68,30.4,18,3,65,16,98,2024-10-17 19:17:53,2024-10-17
Kirk Cousins,1598,7.7,207,138,66.7,9,5,94.2,74,35.8,18,4,52,10,70,2024-10-17 19:17:53,2024-10-17
Joe Burrow,1578,7.8,201,144,71.6,12,2,110.2,79,39.3,15,5,70,15,80,2024-10-17 19:17:53,2024-10-17
C.J. Stroud,1577,7.6,208,142,68.3,10,4,98.6,81,38.9,18,2,67,16,124,2024-10-17 19:17:53,2024-10-17
Lamar Jackson,1529,8.7,176,118,67,10,2,108.4,76,43.2,17,4,56,7,40,2024-10-17 19:17:53,2024-10-17
Baker Mayfield,1489,7.9,189,134,70.9,15,5,109.4,80,42.3,18,2,55,17,107,2024-10-17 19:17:53,2024-10-17
Jayden Daniels,1404,8.5,166,125,75.3,6,2,107.1,69,41.6,19,3,66,15,78,2024-10-17 19:17:53,2024-10-17
Aaron Rodgers,1387,6.4,217,134,61.8,9,5,84.4,68,31.3,20,1,52,16,120,2024-10-17 19:17:53,2024-10-17
Daniel Jones,1343,6.1,219,136,62.1,6,4,80.9,68,31,13,1,41,14,62,2024-10-17 19:17:53,2024-10-17
Trevor Lawrence,1334,7,191,116,60.7,8,3,89.2,64,33.5,18,3,85,15,117,2024-10-17 19:17:53,2024-10-17
Jared Goff,1330,8.9,149,106,71.1,8,4,105.3,57,38.3,19,6,70,9,73,2024-10-17 19:17:53,2024-10-17
Caleb Williams,1317,6.6,199,130,65.3,9,5,88.7,63,31.7,15,3,47,20,137,2024-10-17 19:17:53,2024-10-17
Matthew Stafford,1238,7.1,175,118,67.4,3,3,86.3,54,30.9,15,3,63,16,105,2024-10-17 19:17:53,2024-10-17
Patrick Mahomes,1235,7.7,160,111,69.4,6,6,88.9,58,36.2,14,3,54,9,51,2024-10-17 19:17:53,2024-10-17
Jalen Hurts,1194,7.6,157,106,67.5,6,4,92.2,54,34.4,16,5,67,14,91,2024-10-17 19:17:53,2024-10-17
Kyler Murray,1186,7,170,116,68.2,8,2,98.8,52,30.6,14,1,60,11,64,2024-10-17 19:17:53,2024-10-17
Josh Allen,1160,7.4,156,98,62.8,10,0,106.8,52,33.3,18,3,52,8,47,2024-10-17 19:17:53,2024-10-17
Jordan Love,1131,7.8,146,86,58.9,12,6,93.7,51,34.9,17,5,70,4,37,2024-10-17 19:17:53,2024-10-17
Sam Darnold,1111,8.1,137,87,63.5,11,4,103.4,47,34.3,17,2,97,14,95,2024-10-17 19:17:53,2024-10-17
Justin Fields,1106,6.9,160,106,66.2,5,1,93.9,45,28.1,15,2,55,16,124,2024-10-17 19:17:53,2024-10-17
Bo Nix,1082,5.5,198,121,61.1,5,5,73.7,44,22.2,18,1,49,9,57,2024-10-17 19:17:53,2024-10-17
Deshaun Watson,1020,5.1,199,122,61.3,5,3,76.6,44,22.1,10,0,35,31,178,2024-10-17 19:17:53,2024-10-17
Gardner Minshew,1014,7.2,140,99,70.7,4,5,85.8,50,35.7,13,2,57,15,106,2024-10-17 19:17:53,2024-10-17
