Player,Rush Yds-rushing,Att-rushing,TD-rushing,20+-rushing,40+-rushing,Lng-rushing,Rush 1st-rushing,Rush 1st%-rushing,Rush FUM-rushing,report_datetime,report_date
Derrick Henry,704,119,8,8,2,87,35,29.4,1,2024-10-17 21:06:51,2024-10-17
Jordan Mason,609,114,3,7,0,38,27,23.7,2,2024-10-17 21:06:51,2024-10-17
Chuba Hubbard,485,86,2,3,0,38,26,30.2,0,2024-10-17 21:06:51,2024-10-17
Saquon Barkley,482,91,4,4,2,65,19,20.9,0,2024-10-17 21:06:51,2024-10-17
Josh Jacobs,464,108,1,3,0,34,22,20.4,2,2024-10-17 21:06:51,2024-10-17
J.K. Dobbins,438,81,3,4,3,61,20,24.7,0,2024-10-17 21:06:51,2024-10-17
Alvin Kamara,428,104,6,0,0,17,28,26.9,0,2024-10-17 21:06:51,2024-10-17
James Conner,403,90,3,3,0,22,27,30,1,2024-10-17 21:06:51,2024-10-17
Lamar Jackson,403,64,2,2,0,33,20,31.2,2,2024-10-17 21:06:51,2024-10-17
Bijan Robinson,380,82,3,1,0,28,19,23.2,0,2024-10-17 21:06:51,2024-10-17
Najee Harris,376,96,1,4,0,36,18,18.8,0,2024-10-17 21:06:51,2024-10-17
Kyren Williams,360,95,6,1,0,30,29,30.5,1,2024-10-17 21:06:51,2024-10-17
Rhamondre Stevenson,356,77,3,1,0,33,15,19.5,4,2024-10-17 21:06:51,2024-10-17
David Montgomery,351,75,6,1,0,21,23,30.7,0,2024-10-17 21:06:51,2024-10-17
Aaron Jones,350,71,1,1,0,39,16,22.5,0,2024-10-17 21:06:51,2024-10-17
Jonathan Taylor,349,72,4,4,0,29,20,27.8,0,2024-10-17 21:06:51,2024-10-17
Jahmyr Gibbs,348,66,3,3,0,24,20,30.3,0,2024-10-17 21:06:51,2024-10-17
Tony Pollard,339,78,3,3,1,41,17,21.8,0,2024-10-17 21:06:51,2024-10-17
Bucky Irving,328,58,2,3,0,32,15,25.9,1,2024-10-17 21:06:51,2024-10-17
Brian Robinson,325,73,5,2,1,40,19,26,0,2024-10-17 21:06:51,2024-10-17
D'Andre Swift,325,91,3,2,0,36,13,14.3,1,2024-10-17 21:06:51,2024-10-17
Jayden Daniels,322,63,4,2,0,34,23,36.5,2,2024-10-17 21:06:51,2024-10-17
Breece Hall,310,83,2,3,1,42,15,18.1,1,2024-10-17 21:06:51,2024-10-17
James Cook,309,70,4,1,1,49,16,22.9,0,2024-10-17 21:06:51,2024-10-17
Tank Bigsby,297,41,2,4,2,65,9,22,1,2024-10-17 21:06:51,2024-10-17
