Player,Comb-tackles,Asst-tackles,Solo-tackles,Sck-tackles,report_datetime,report_date
Robert Spillane,62,20,33,1,2024-10-17 19:17:54,2024-10-17
Logan Wilson,61,27,30,0,2024-10-17 19:17:54,2024-10-17
Nick Cross,60,23,29,0,2024-10-17 19:17:54,2024-10-17
Zaire Franklin,60,30,21,0,2024-10-17 19:17:54,2024-10-17
E.J. Speed,60,16,39,0,2024-10-17 19:17:54,2024-10-17
Dorian Williams,60,22,30,0,2024-10-17 19:17:54,2024-10-17
Budda Baker,59,21,34,0,2024-10-17 19:17:54,2024-10-17
Germaine Pratt,58,25,29,0,2024-10-17 19:17:54,2024-10-17
Roquan Smith,56,27,25,0,2024-10-17 19:17:54,2024-10-17
Bobby Wagner,56,23,31,2,2024-10-17 19:17:54,2024-10-17
Jamien Sherwood,53,18,29,0,2024-10-17 19:17:54,2024-10-17
Eric Kendricks,52,28,19,2,2024-10-17 19:17:54,2024-10-17
Zack Baun,51,18,28,2,2024-10-17 19:17:54,2024-10-17
Quay Walker,51,13,28,1.5,2024-10-17 19:17:54,2024-10-17
Fred Warner,50,20,25,1,2024-10-17 19:17:54,2024-10-17
Tyrel Dodson,49,22,21,2,2024-10-17 19:17:54,2024-10-17
T.J. Edwards,47,20,22,0,2024-10-17 19:17:54,2024-10-17
Jeremiah Owusu-Koramoah,47,16,26,2,2024-10-17 19:17:54,2024-10-17
Paulson Adebo,46,6,39,0,2024-10-17 19:17:54,2024-10-17
Lavonte David,46,17,23,3,2024-10-17 19:17:54,2024-10-17
Julian Love,46,11,31,0,2024-10-17 19:17:54,2024-10-17
Henry To'oTo'o,46,23,20,1,2024-10-17 19:17:54,2024-10-17
DeShon Elliott,45,18,23,0,2024-10-17 19:17:54,2024-10-17
Kyzir White,45,30,10,0,2024-10-17 19:17:54,2024-10-17
Troy Andersen,44,18,21,0,2024-10-17 19:17:54,2024-10-17
